line,member
"jigeum haneul gureum saegeun Tropical yeah
jeo taeyang ppalganbit ne du bol gatae",Nayeon
"Oh tell me I’m the only one babe
I fancy you, I fancy you, fancy you
",Mina
"It’s dangerous ttakkeumhae neon jangmi gata
gwaenchana jogeumdo nan geomnaji ana",Jeongyeon
"deo sege kkok jaba Take my hand
jom wiheomhal geoya deo wiheomhal geoya Baby",Momo
"dalkomhan chokollit aiseukeurimcheoreom
nogabeorineun jigeum nae gibun So lovely",Sana
"kkamkkamhan uju sok gajang banjjagineun
jeo byeol jeo byeol geu yeope keun ne byeol",Tzuyu
"geogi neo I fancy you
amuna weonhaji ana
Hey I love you ",Nayeon
"geurae neo I fancy you
kkumcheoreom haengbokaedo dwae
‘Cause I need you",Jihyo
What,Dahyun
nuga meonjeo joahamyeon eottae,Jeongyeon
jigeum neoegero gallae,Momo
"Fancy, ooh",Chaeyoung
"maeilmaeil nan jeongmal amugeotto motane Oh my
Mayday ireoda keunil nael geot gateunde",Dahyun
"Bang bang meoriga hollin deut Reset-i dwae
eojjeomyeon joa ige manneungeonji molla S.O.S",Chaeyoung
Swim swim neoran badae jamsuhami dwae,Dahyun
maeiri Birthday dalkomhae neowa naye Fantasy,Jeongyeon
Dream dream machi kkumgata bol kkojibeobwa,Mina
yojeum naye sangtae mesejin lallalla Baby,Chaeyoung
"dalkomhan chokollit aiseukeurimcheoreom
nogabeorineun jigeum nae gibun So lovely",Sana
"kkamkkamhan uju sok gajang banjjagineun
jeo byeol jeo byeol geu yeope keun ne byeol",Tzuyu
"geogi neo I fancy you
amuna weonhaji ana
Hey I love you ",Nayeon
"geurae neo I fancy you
kkumcheoreom haengbokaedo dwae
‘Cause I need you",Jihyo
What,Dahyun
nuga meonjeo joahamyeon eottae,Jeongyeon
jigeum neoegero gallae,Momo
"Fancy, ooh",Chaeyoung
yeongicheoreom huk sarajilkka,Mina
neul gadeuki dama neol du nune dama,Sana
saenggangmaneuro pogeunhaejeo,Nayeon
mollae dwieseo ana neol nochi aneullae,Jihyo
"geogi neo I fancy you (Fancy)
amuna weonhaji ana (Oh whoa oh)
Hey I love you ",Nayeon
(Fancy),Jihyo
(Oh whoa oh),Jihyo
"geurae neo I fancy you
kkumcheoreom haengbokaedo dwae
‘Cause I need you",Jihyo
What,Dahyun
nuga meonjeo joahamyeon eottae,Tzuyu
jigeum neoegero gallae,Sana
"Fancy, ooh",Chaeyoung
