member,line
Nayeon,I know I want it
Nayeon,ibe bareun sorin ije geumanhalge
Nayeon,Cause I deserve it deserve it
Mina,hokshi jamkkan naega miweojideorado geokjeong an halge
Mina,Cause I know you I know you
Tzuyu,nae nuneul jakku pihaebwa
Tzuyu,ne mameul jakku sumgyeobwa
Tzuyu,naegeseo domangchyeobwa No no
Momo,gamatteon nuneul tteosseul ttae
Momo,mundeuk naega tteooreul ttae
Momo,You are gonna be mine again
Sana,You’re gonna say more more more more more and more
Dahyun,meomchuji mothae More more more and more
Chaeyoung,geureoni han beon deo
Jihyo,I wanna have more more more more more and more
Jeongyeon,meomchugi shireo More more more and more
Nayeon,geureoni han beon deo
Dahyun,meomchujireul mothae
Tzuyu,geureoni han beon deo
Mina,meomchugiga shireo
Momo,geureoni han beon deo
Jeongyeon,Do you feel me
Jeongyeon,niga nal wihan saramirago minni
Jeongyeon,Only for me only for me
Chaeyoung,ganjireoun mareun gudi haji anado neon
Chaeyoung,Cause you know me you know me
Sana,ne gwireul jakku magado
Sana,nareul meolli mireonaedo
Sana,naegeseo meoreojyeodo
Mina,jeo meolli
Sana,jeo meolli
Sana,No no
Jihyo,naega dashi neol bureumyeon
Jihyo,naye moksoril deureumyeon
Jihyo,You are gonna be mine again
Jihyo,Yeah han beon deo
Sana,You’re gonna say more more more more more and more
Dahyun,meomchuji mothae More more more and more
Chaeyoung,geureoni han beon deo
Jihyo,I wanna have more more more more more and more
Jeongyeon,meomchugi shireo More more more and more
Nayeon,geureoni han beon deo
Dahyun,meomchujireul mothae
Tzuyu,geureoni han beon deo
Mina,meomchugiga shireo
Momo,geureoni han beon deo
Dahyun,nan weollae yokshimjaengi mollattamyeon mian
Dahyun,sagwaneun miri halge Cuz I want you more more
Dahyun,uigyeoneun piryo eopseo humchil geoya ne mam
Dahyun,naege hollige dwelgeol You can’t say no no
Chaeyoung,nan dodukgoyangi oneulmaneun neol
Chaeyoung,kkok jabeureo wasseunikka ttak gidaryeo neo
Chaeyoung,meolli gaji malgo dashi naege Come come
Nayeon,Yeah han beon deo
Dahyun,meomchujireul mothae 
Nayeon,You’re gonna say
Tzuyu,geureoni han beon deo 
Nayeon,geureoni han beon deo
Mina,meomchugiga shireo 
Nayeon,More and more
Nayeon,geureoni han beon deo
