start_time,end_time,lyric,duration,member
"00:00:00,100","00:00:00,820",translated by carissa wu,0.72,
"00:00:01,180","00:00:04,080",yeah yeah yeah yeah yeah,2.9,
"00:00:04,220","00:00:07,300",来做我恋人baby 💌,3.08,
"00:00:07,340","00:00:09,700",yeah yeah yeah yeah yeah,2.36,
"00:00:09,780","00:00:13,040",来做我恋人baby 💌,3.26,
"00:00:13,160","00:00:16,040",我纹丝不动，头装满心事,2.88,
"00:00:16,140","00:00:19,220",不知道这样做是不是应该,3.08,
"00:00:19,320","00:00:21,320",yeah yeah yeah yeah,2.0,
"00:00:21,340","00:00:21,840",无所谓吧,0.5,
"00:00:21,920","00:00:23,560",No no no no,1.64,
"00:00:23,640","00:00:24,140",我一定疯了😵,0.5,
"00:00:24,180","00:00:25,620",我叫子瑜 🙂,1.44,
"00:00:25,700","00:00:27,380",我要不要跟你打招呼,1.68,
"00:00:27,440","00:00:28,540",这是我的电话号码 📞,1.1,
"00:00:28,580","00:00:30,580",我应该给他然后逃走么？🗒,2.0,
"00:00:30,640","00:00:32,640",yeah yeah yeah yeah,2.0,
"00:00:32,700","00:00:33,240",怎么办？,0.54,
"00:00:33,340","00:00:35,260",No no no no,1.92,
"00:00:35,340","00:00:36,700",到时间了 ⏰,1.36,
"00:00:36,800","00:00:37,940",你可以做到,1.14,
"00:00:38,020","00:00:39,680",我们眼神的碰撞,1.66,
"00:00:39,720","00:00:40,820",缘分有时限 💕,1.1,
"00:00:40,880","00:00:42,460",如果我错过，我会后悔 😓,1.58,
"00:00:42,540","00:00:44,940",恋情在来的路上，我们要勇敢的面对,2.4,
"00:00:45,060","00:00:47,060",不要犹豫,2.0,
"00:00:47,200","00:00:53,240",有点奇怪，但是我情不自禁，因为我爱上了你 🥰,6.04,
"00:00:53,320","00:00:55,320",你让我心动 💓,2.0,
"00:00:55,420","00:00:56,520",不想失去你,1.1,
"00:00:56,560","00:00:57,940",你让我心动 💓,1.38,
"00:00:58,000","00:00:58,660",怎么办？,0.66,
"00:00:58,760","00:01:04,920",我不会像傻子一样等待，我会主动告白,6.16,
"00:01:05,000","00:01:08,920",让你知道我喜欢你，我每天想着你 🧸,3.92,
"00:01:08,940","00:01:11,680",你愿意做我的情人么？ 💌,2.74,
"00:01:11,780","00:01:13,440",因为我真的很喜欢你,1.66,
"00:01:15,760","00:01:18,960",控制好表情，让它自然流露,3.2,
"00:01:19,080","00:01:21,880",酷酷的说话，没必要紧张 😎,2.8,
"00:01:21,920","00:01:23,120",yeah yeah yeah yeah,1.2,
"00:01:23,240","00:01:24,840",全神贯注,1.6,
"00:01:24,900","00:01:26,100",No no no no,1.2,
"00:01:26,200","00:01:27,960",我该怎么办？我不敢直视,1.76,
"00:01:28,000","00:01:28,860",你可以做到,0.86,
"00:01:28,940","00:01:30,640",我们眼神的碰撞,1.7,
"00:01:30,700","00:01:31,820",缘分有时限 💕,1.12,
"00:01:31,880","00:01:33,340",如果我错过，我会后悔 😓,1.46,
"00:01:33,380","00:01:36,100",恋情在来的路上，我们要勇敢的面对,2.72,
"00:01:36,240","00:01:38,000",不要犹豫,1.76,
"00:01:38,060","00:01:44,020",有点奇怪，但是我情不自禁，因为我爱上了你 🥰,5.96,
"00:01:44,560","00:01:46,280",你让我心动 💓,1.72,
"00:01:46,400","00:01:47,460",不想失去你,1.06,
"00:01:47,540","00:01:49,260",你让我心动 💓,1.72,
"00:01:49,400","00:01:50,000",怎么办？,0.6,
"00:01:50,040","00:01:56,060",我不会像傻子一样等待，我会主动告白,6.02,
"00:01:56,160","00:02:00,200",让你知道我喜欢你，我每天想着你 🧸,4.04,
"00:02:00,300","00:02:02,300",你愿意做我的情人么？ 💌,2.0,
"00:02:02,400","00:02:04,400",因为我真的很喜欢你,2.0,
"00:02:04,440","00:02:10,740",最终，你也会想得到我，你也会爱上我 😊,6.3,
"00:02:10,880","00:02:15,520",我真的希望是这样,4.64,
"00:02:15,560","00:02:17,120",oh yeah,1.56,
"00:02:17,180","00:02:19,860",不要犹豫，先接触,2.68,
"00:02:19,920","00:02:23,000",告白你的爱，不要隐藏,3.08,
"00:02:23,100","00:02:25,860",来做我恋人baby 💌,2.76,
"00:02:25,960","00:02:27,840",来这baby,1.88,
"00:02:27,940","00:02:33,840",有点奇怪，但是我情不自禁，因为我爱上了你 🥰,5.9,
"00:02:34,300","00:02:36,300",你让我心动 💓,2.0,
"00:02:36,360","00:02:37,320",不想失去你,0.96,
"00:02:37,360","00:02:38,820",你让我心动 💓,1.46,
"00:02:38,860","00:02:39,640",怎么办？,0.78,
"00:02:39,740","00:02:45,320",我不会像傻子一样等待，我会主动告白,5.58,
"00:02:45,400","00:02:49,720",让你知道我喜欢你，我每天想着你 🧸,4.32,
"00:02:49,800","00:02:51,420",我爱你,1.62,
"00:02:51,500","00:02:53,500",我真的很喜欢你,2.0,
"00:02:53,620","00:02:55,340",yeah yeah yeah yeah yeah,1.72,
"00:02:55,380","00:02:57,480",你是我的,2.1,
"00:02:57,920","00:03:00,860",yeah yeah yeah yeah yeah,2.94,
"00:03:00,960","00:03:03,360",我会让你知道我对你的感情,2.4,
"00:03:03,460","00:03:04,580",因为我真的很喜欢你,1.12,
